"","M10_COLD","M10_DIET","M10_FAST","M10_HEAT","M10_POST","M10_PRE","M11_COLD","M11_DIET","M11_FAST","M11_HEAT","M11_POST","M11_PRE","M12_DIET","M12_FAST","M12_HEAT","M12_POST","M12_PRE","M13_COLD","M13_DIET","M13_FAST","M13_HEAT","M13_POST","M13_PRE","M14_COLD","M14_DIET","M14_FAST","M14_HEAT","M14_POST","M14_PRE","M15_COLD","M15_DIET","M15_FAST","M15_HEAT","M15_POST","M15_PRE","M16_COLD","M16_DIET","M16_FAST","M16_HEAT","M16_POST","M16_PRE","M17_COLD","M17_DIET","M17_FAST","M17_HEAT","M17_POST","M18_COLD","M18_DIET","M18_FAST","M18_HEAT","M18_POST","M18_PRE","M19_COLD","M19_DIET","M19_FAST","M19_HEAT","M19_POST","M19_PRE","M1_COLD","M1_DIET","M1_FAST","M1_HEAT","M1_POST","M1_PRE","M21_COLD","M21_DIET","M21_FAST","M21_POST","M21_PRE","M22_COLD","M22_DIET","M22_FAST","M22_HEAT","M22_POST","M22_PRE","M24_COLD","M24_DIET","M24_FAST","M24_HEAT","M24_POST","M24_PRE","M25_COLD","M25_DIET","M25_FAST","M25_HEAT","M25_POST","M25_PRE","M2_COLD","M2_DIET","M2_FAST","M2_HEAT","M2_POST","M2_PRE","M3_COLD","M3_DIET","M3_FAST","M3_HEAT","M3_POST","M3_PRE","M4_COLD","M4_DIET","M4_FAST","M4_HEAT","M4_POST","M4_PRE","M6_COLD","M6_DIET","M6_FAST","M6_HEAT","M6_POST","M6_PRE","M7_COLD","M7_DIET","M7_FAST","M7_HEAT","M7_PRE","M8_COLD","M8_DIET","M8_FAST","M8_POST","M8_PRE","M9_COLD","M9_DIET","M9_FAST","M9_HEAT","M9_POST","M9_PRE"
"bin_m1.cct123",2404.18626843685,1151.64453582286,162.966571619614,1559.93174621825,5658.05277708388,6422.28192793202,82.8696754312615,177.561928893039,82.8270242332272,97.8980981887588,77.4714333854616,127.317113511344,7842.66559783303,14112.619808427,4146.77492052858,126.310387529328,3689.37878222029,363.422469539647,234.258602198285,123.20946338656,201.700788669722,150.642001288685,277.716029027902,110.167551730011,456.9444322334,422.585539625207,145.151930081985,1229.75894113782,11753.0032950206,285.918971663765,578.842837354672,180.020685715069,224.52050885696,69.7035671311403,167.120197882757,50.4631114197138,32.81696196259,26.2487540676171,22.1994111700224,26.178861484292,66.0129280443958,98.239273999318,46.6713166902267,136.269935530631,170.372953513113,54.7271281462812,359.596548324646,193.54260424502,175.529043994719,218.960957944145,325.053454962432,463.481029631707,778.543572537816,1046.36313393906,693.641342717029,1244.10811501554,1075.15689273505,1168.55033406041,15756.8992296607,16242.8381816802,12760.3678054879,6501.84094882529,19956.2239078645,21446.8377948934,570.943767369987,204.353154098282,363.871916359304,247.554744870753,440.095401063165,450.23473418839,14367.5940794024,303.269223540308,200.906238423952,572.658895041942,187.602611025476,260.942195387417,195.726571155715,357.473455243544,5721.12204124272,558.966771435111,135.816829572255,15.2391299439794,333.227708946394,304.919675525714,8.92808465598205,21.2063911568447,36.3550847083864,5361.72795169364,4517.32841230363,18249.7740171502,17408.8860113759,3959.70073283293,4068.9416781464,15582.579531689,24411.9902783953,29055.3062213246,11209.2444561452,29104.6663241623,25562.3471635452,22956.5853141507,598.121094666605,21962.7184922066,23932.0264237146,12842.5093052268,2827.35023805974,20954.1923797684,18311.078745308,13776.4059505014,16349.9955753841,31631.0141726069,20484.6764101015,163.726563047827,14608.5284770425,144.137328096018,17167.5908412314,92.6529933527252,392.581732003631,378.500731628216,267.952815777771,538.251186788837,252.182263689392,6968.05192842897,236.273277043245,14.7042925312558,35888.3935033167,19323.3839362455,8.1974909934366
"bin_m1.mtb106",256.265503505542,196.709569563348,62.8909570330134,92.6004828051823,103.919002223554,232.743050118409,1277.93441897159,316.97205087403,208.797904369047,522.649798778606,150.529141727637,101.15865076157,6293.27041958024,13610.0631152976,3607.03528168325,7784.67064597734,924.497232295128,239.026809738841,14115.9624113316,1131.79202214782,4671.87184298227,328.242528927633,319.947679153199,163.650440621138,162.914163391999,240.263400182783,161.841950746548,399.284886383122,1972.29136254493,12773.4730698228,84.8711745297848,194.385541135895,20313.8093760661,11982.2227656996,17679.7426484847,4009.94202645043,237.662923061904,162.597762547555,1639.28700685083,437.184124816006,53.8384650944473,1151.61593781655,134.13421867958,940.13286135847,1523.82314387262,1259.63024510308,17162.2558380738,194.689404482354,421.463064385591,381.627113284015,37027.9089627784,28410.9310228296,841.503516628023,377.891841262059,123.08089137336,474.792666572187,3496.94060222814,458.211306264698,14742.2747601933,18581.3678040998,12687.9517560737,19210.2368730398,4400.44304648992,12237.9444161696,25123.0363594036,34300.5237763833,9585.27532822864,3696.12980132035,727.948351790054,37053.881740335,9633.41353173552,6575.93688225997,61540.6222361925,6496.40473860437,9097.65214028576,5295.51028687246,164.346444720491,2658.35758872747,468.358566083049,9447.06908990694,1415.12101108036,3356.94140717108,540.05529410999,967.436265203591,1397.92655032303,1753.30648431963,305.866017612787,1941.86041771414,20338.7612884365,10881.179807738,6984.70046201262,2845.96978963492,1276.20013068302,2630.97093320105,229.954086240049,871.248586080699,7966.46399053292,289.048197460442,296.480399960669,38381.0842182194,4759.18749195842,1500.29523628786,9053.56257781707,12529.1098464269,521.057294180319,11143.5795538008,2711.28423390805,793.092793728214,701.46500022938,4705.85411978293,158.400865065209,6179.99231479115,1380.09367059479,814.330510687821,3695.59567986198,592.225839098573,17171.8700436847,348.788837896174,287.254253713721,1265.9694870326,87.1639503093745,2506.36159102489,185.72163793694,118.487991429889,3343.63638139197,1996.80591324671,161.404815300325
"bin_m1.mtb147",592.879255106066,1000.53581787392,283.9703857629,221.582780555119,919.2565086691,1435.614267787,1073.90681319407,1624.39430165524,712.665599857054,530.255070366996,691.912157875473,1977.23783096824,2855.74416443841,3202.54496299263,349.477641976678,369.648532590434,595.629702971429,278.55836644735,999.022026466953,295.477563762721,540.182361899138,684.050031285728,719.021545748064,70.1167042027707,761.429716263994,974.054756615596,358.1678045923,552.719514622624,563.007061150588,1138.00041213743,815.455287414683,1380.4738892326,832.487537472214,420.272496961474,886.191663890713,612.074871058798,605.541349391658,627.378434129811,264.032318377125,839.377191355748,2233.78769205014,717.43092906015,1535.0257876014,704.665386196679,945.519007659443,1122.44205132743,690.641686315997,1416.34526657662,440.140716212796,1144.95489183621,726.267400484059,1525.70859814303,906.957315737683,409.591924449522,765.008520253407,773.555526825851,1173.35575649529,1026.37957323964,9630.59087568386,1216.9743653419,18409.7797917042,480.203604666966,1550.2270801337,12252.3443447812,359.000231333158,437.214068860534,235.165222381277,616.907006666595,830.291836293286,473.257744925919,600.478118835407,211.372143478341,896.440249014139,796.941276143153,1089.59509560764,784.589109228842,1516.72853679795,1077.74509005547,495.281102841882,1550.86692883072,1079.76292886086,812.916728884896,1499.36562363919,1726.47626145168,215.004578731465,849.563212108848,376.384277705337,174.849938431158,1000.73319084254,1701.91648242934,581.562663063794,789.276582481229,3039.74675115548,519.448526222545,1333.50893200587,1374.01508791313,117.810314413768,680.443845216212,1329.37787214198,1758.93598723266,812.915568438579,713.840146818438,761.229238455484,497.67555515097,513.312647798503,1325.47735194731,1497.56602267828,1422.97277862102,1277.8947727614,840.439842062712,1358.65918858828,189.304994367534,167.219778733296,333.470163603461,342.541734903866,341.106949008678,1336.4685112084,786.392858787642,638.391539546316,2327.68188775552,2104.5057222079,537.567008247482,713.852719638121,3.28302881287239,766.418975925404,769.032915380989,2.34926297451367
"bin_m1.mtb2",25.2243822944744,15.562238619057,11.3113149729288,14.5374366265684,22.8276493975022,10.0470277616025,324.664892495512,32.8392995712262,1000.514985224,110.044899833756,1289.17453746793,36.4534457657359,10.709369937434,17.121845597153,7.02356777324801,8.95485711015074,52.7796327769823,7.27547555081062,8.76676669237567,9.42718064454228,18.5081244386527,12.6385277385399,17.2666907397386,1.57276877231477,12.9944199695527,4.24547858552791,3.35157620392118,6.56347096924241,9.28400485958293,43.2127699833958,20.6839535645617,11.0562568049711,18.0631504017339,11.6658912563446,27.9451491747737,649.183791241019,657.957063188524,3836.14718336645,2.59259949971709,15.9168522722128,13.0614449475613,26.0861067962879,196.733329073586,1860.15931150029,969.53076936972,15.0415173675613,22.4791323844394,21.3124224165865,20.7685223731956,12.9859448244636,86.9166755422162,23.550642831653,12.8025529841451,6.95115357089441,10.6156769828415,8.41403466839526,18.1502080656588,24.2993936707368,1751.12244937963,25.0923511371577,16589.5097184822,49.6931021858913,612.792204933257,2631.02660283915,7.16684675881141,6.72926200992566,19.6071070691895,7.98721809576304,14.4505988682941,6.96652743650884,17.7642289476306,9.60941731818202,12.5608179334583,16.792417892095,49.6472704518985,14.2188727847487,10.6250160918805,11.970734930109,19.1305414187306,28.1258590315062,15.3722424063406,9.11244701817183,19.1761204310468,14.5506423826335,2.53283310816463,6.97654634575878,24.1339991554102,7.00044101321083,16.0992012293195,152.42084082376,10.0337656742805,9.36880831842763,18.7777957474635,13.5749183884763,18.7615530349679,36.072123172759,6.19218365641368,14.0827358728661,14.6186218439465,7.29556564081667,16.608131289238,15.404710358237,9.3525314018157,8.8732924160851,5.28134433805964,10.9744028654418,122.382327609148,691.51248893311,19.5035520069242,20.5940429398066,19.1757684795368,77.6345860756775,11.9849509361446,20.3505326171897,137.58809618974,252.243192192156,12.1658637820408,15.3739262722038,16.1740322404571,29.3978238407192,495.68248846573,7.21166044795498,9.39641859486813,1.46419704304128,17.1388832832358,9.48400322548774,14.4520767740784
"bin_m1.vmb35",55433.1032269624,2986.78324192703,42568.9836748402,22233.3272014772,28273.0165864562,17829.4989256347,68.0581892499352,122.209592274445,758.479922169197,1133.65305901415,311.998479552128,627.888937998229,1139.82006954004,5586.88997479867,2733.68144399656,94.0879146758758,1643.95033444279,1107.04458391549,193.329823750852,3154.14182700728,853.143080967219,117.852834005942,1109.87391226968,69.8178986766053,217.938015395031,865.251796042837,88.2569004327392,604.519365391133,87.9050434954032,184.693604317329,347.139002876035,1723.48759016298,495.860392687214,1223.46293199971,273.178199719245,1053.37160803056,891.500400307338,1605.22071737028,1256.20426499681,63.9937499985558,125.50085240102,1277.51480780703,81.4296440255317,2062.75741892509,1821.96905371497,1091.9412190242,933.905360206579,107.28692321025,1029.27333599329,649.075071054391,84.6459829618704,30.890662317037,98.7135537457217,777.694179450977,149.089135299724,617.733708810259,140.932585679729,682.681131397619,36414.6628808179,23776.9530027438,63112.3846508935,59333.058271913,21624.4950928837,3418.41451030111,1082.74787061886,857.667568839169,2978.53585729863,216.096612712865,293.705356607373,74.1916122159877,19280.3889397584,152.446541994247,123.011066195265,244.160961927388,101.090665782761,50.3135725817758,6.05484104001856,46.9561806738041,1275.39901879565,29.4828739113917,99.8125359511634,47.7907104259887,1117.86448213258,1010.62630887667,59.8243604024413,130.896380996245,176.831460398104,107978.507904634,14192.881058874,68907.0499038132,66976.0194747439,118929.355149474,96698.0659513609,47248.6838197649,6278.66928769675,97419.6736830156,75881.7599657602,35265.6402357296,30226.6844253661,30937.5066524754,122.150146486132,59955.4724497823,28779.7263019731,34532.9275322895,142884.55159103,255.203805203192,73.0751568113727,544.924675422423,118.930741833883,150.187280337787,171.566396212428,1776.32459014282,453.073218660463,2573.71287245462,589.521119575927,459.511476573867,100.568738280398,110.545386582067,101.049029844331,1221.32677064865,124.878899094473,99.6879282928796,53.5406085466933,7.94849950805559,324.558373942637,930.708653773118,122.695906836541
"bin_m1.vmb46",116.720941431685,326.188437263311,68.3134873618717,60.9436177773029,903.613378831873,101.594146204663,9096.43095695908,504.477064289167,245.528526816474,1163.45005185743,303.3439992648,375.612516999736,814.65665402925,5364.5542538115,298.777840711206,160.659729610545,548.886754709106,2192.03500219694,12251.8365733359,5710.45484100776,287.774309334104,333.004747462747,325.595287481678,2905.0674984635,3516.04060849391,4875.79973380957,230.146674643453,288.113355464288,183.654030681923,4106.61470290194,686.142156958546,18848.4568823305,190.603358315034,135.359788547486,262.894827976812,10152.4522462021,7016.9231724337,9868.16136978166,186.072969532695,9287.66314878094,1246.22292299508,3329.02200760032,325.909359315341,222.083420552473,7387.94453044592,12969.090116916,2836.47849948549,2608.35249758543,345.860149396726,2860.74218974826,9033.4536421713,7237.33482575925,269.997243810925,1498.25372033719,9771.01564159648,421.497130632574,172.688276921779,422.586545455595,1773.47025209316,6343.38702812918,34396.524724882,5902.35702439769,22315.6428038692,11441.9731260629,1893.24759874723,5836.90518214504,5602.5578709769,341.745496461742,570.316732238832,8414.71408351967,4933.0273823864,2674.8776318357,399.791921249762,806.463206678305,233.312607352222,4153.61925000465,20480.1244389065,2202.4614367856,383.16683126183,557.516735634522,351.353367376991,10529.1317190564,3662.24416473953,307.666630497878,61.2527164855967,248.008519482934,301.704091607467,5337.9466332079,9031.92124268654,9996.57273877569,29187.1364855879,251.55694124111,383.172900439553,805.102445980889,564.590481332301,503.867936523407,218.235146694533,3513.04173288546,175.340441186084,6505.50050660381,316.726210729997,6690.45857459504,1535.80191064034,5908.05356631464,1671.57058172062,14233.5648420929,10359.033317345,13305.9266818224,29726.3139693188,731.425158310261,605.927080516273,1506.81871919302,80.3703151563131,665.43592724867,274.056174606681,78.5956660454368,545.652161368935,718.056075308373,16886.4702253632,653.991848664432,437.754419864168,9425.92852093065,268.532150853404,18.0991253920221,5339.58714531867,19631.3821983759,10.6775696849895
"bin_m10.cct0",287.561864350151,234.72933336586,382.250137198478,688.237328156893,263.932204372817,279.963407269186,781.252071216366,193.563597805259,200.865269463699,860.382281865735,1039.45338278454,582.390664283636,13.8195429014756,45.6324149205686,15.1674489798229,121.553666168568,3.52469860615622,12.3895972402134,25.3244903337821,25.9102703785394,20.4137154930077,13.6464992467591,15.2673442586003,120.815025505961,141.510390487283,127.353853060394,97.8389348652301,273.758104740449,30.639484946417,171.771758879141,160.330935524923,129.880482187509,115.760259959062,218.255201623767,150.854183314055,109.764946287642,183.715724983194,179.913565716426,259.47838562351,97.0047918392997,574.170306078153,217.243735793837,36.1145154611231,41.1417389299158,150.706705947454,93.7046222276518,122.756968963871,172.944992792776,259.241613505684,42.9570047215386,18.2081933210593,36.3738703400241,196.143299436852,896.068971459746,1343.91393600544,500.32869236842,462.837210615319,341.574631847693,146.077409407787,398.519078749998,389.774847050662,157.74151052448,37.9908314785112,213.210777370142,328.58566554656,27.0780622463431,224.896895736004,154.086236515779,102.857637187176,423.326141971142,359.481306183949,1009.49909651091,765.061781277524,199.249211196609,34.3913267183941,54.7473682417725,153.780190966801,42.4869127384514,10.9752645192921,244.566340545744,34.1023193393492,46.3133285322121,7.6060984636409,19.5483887441473,28.0047242506505,85.1684881336686,31.2246162534852,8.95852240739855,16.1703952036877,36.3492418459179,29.3762168374759,78.6158261899414,145.301337059867,180.286046103257,257.081883800886,79.4975082220666,66.1824959239561,101.396527324069,88.0457267993716,1034.5672015548,305.646481943075,620.198886599207,516.123221170502,389.322030035631,134.923701184952,740.919500088345,141.013889533285,594.727634893602,108.9275839803,165.878496229005,269.211938871461,71.5989579835526,55.8904860925898,17.5485968912815,169.649248297094,1.24864441558549,779.778843997289,411.694304538059,76.3447520920669,38.9444744233455,179.229972691606,43.0129009945346,24.9743245522708,0,105.042307022645,308.632791033781,46.6764500543543
"bin_m10.cct151",1095.96093650331,1387.5470635845,4922.783300623,2112.50077475694,960.988334924,953.325147785959,199.662034437148,165.407887688718,219.697493843378,536.061852886395,307.384668010973,116.814601860792,17.5331240046893,36.1603505011248,31.264438782634,9.00448227333847,39.1987493979299,55.4679938412177,12.0942295164778,26.1840167559758,46.2636149325714,15.3432695671965,32.2406048038875,147.656658845441,143.029617540948,126.102265537267,129.609482215541,230.756294016801,17.2994489056134,121.221720760515,158.382919130914,131.416509961592,117.357461722494,211.138201768479,94.3843663708051,90.2202556322695,157.363810598026,192.439697687272,287.576227412432,97.1417042558357,662.151041254858,8.33672646209065,0,12.0063593687181,5.51425526761099,4.61421676216908,26.6109873321406,25.8734442043032,24.8898999282321,25.4360253950324,5.40444911022179,1.72158818607959,252.822998891729,304.397902249171,110.464399214569,518.396156604227,112.422609105466,372.379642459234,28.6269684401541,12.0344915159315,30.6641748484821,24.4750971475824,7.83899300870841,11.4337445780993,366.764045106102,24.3107990940264,260.404169149196,154.067310251527,34.4930294155681,81.7824082094436,433.811371420301,31.1945479666202,25.5107873289714,117.507709961709,29.2434773338476,6.6391617572794,0.145749728719444,7.19707930347117,31.7810643466515,3.49390784545457,8.24763436535888,14.1251028365848,25.2199536506786,40.8374962571434,70.2712304306743,42.1462470608847,44.3139879539004,86.9793867844327,322.661895844962,2590.76386482263,1100.91382060829,1959.23828972132,1525.39124855948,323.618241651169,404.602221263729,4751.83807727188,1041.19455859032,252.444915493634,199.61438425243,689.851967326068,163.788374709997,3578.5906212136,252.349211888199,485.748455983514,989.29139652147,141.898074031124,23.2224324224902,348.122180505048,29.5822113571302,70.3067592097107,128.932781229303,31.7470257439493,2.537759706711,12.7993399082287,8.23870025644234,1846.59334080429,6.56420084460144,10.4112467846531,20.0169539785164,34.4645546732481,21.1864083756457,37.9383813104115,26.5195913288797,0.197505159493539,105.050896690772,319.969889122545,35.3786694646552
"bin_m10.cct54_sub",2909.09551095714,622.137306181531,1812.12019614639,3126.6834191094,2192.84219111048,5193.83901413604,232.740198319593,224.932650777299,258.330492603172,530.463371820951,305.476012029687,213.312678084292,110.9743484434,137.872614801175,98.6243420061829,59.0794118590811,77.4592019357372,34.2484634150177,72.0494221324071,73.0071875609114,51.517920777751,71.4947078000578,50.0369536754507,102.220544272965,135.372795887046,166.033251039021,120.905927740008,231.866318663654,139.518202182155,147.968467241166,153.613505649685,154.004371968507,120.648074712424,197.097271316453,126.879083633582,182.772604454709,194.352944636927,469.125612156577,253.868281479381,158.472159956609,538.907263661963,73.5639100647193,47.545804204262,100.135457214693,69.0657837203168,131.20432434338,134.605572407765,86.5872622182722,182.241935745636,148.738380710242,86.6511721310539,107.123193616528,210.090015317031,265.864259690856,111.301444330062,429.275281424054,95.2950241093603,289.922552551874,80.4376750045229,76.061705033721,179.92492189012,106.853995271709,73.0913872417736,68.1770311864194,425.547585592743,103.503979766043,220.085123939814,186.997606674132,174.654549826645,165.417854024643,234.324739719616,69.0277792351555,36.5116594763213,96.7375202019215,126.90816848585,335.180481194215,23.8905583147052,448.367419420672,85.2791864841431,13.1559501318611,20.8810671652196,77.0009264498641,187.93908833273,218.191226294553,257.428845477742,307.8870806501,26.1612385682586,440.631848841405,123.504670241905,835.326267201298,209.011439348397,1193.246180696,1989.58104945908,275.510647523729,399.772088881793,419.084553564708,161.024671110293,176.938675025896,121.81889432828,468.314116369523,136.882323762786,336.290970641721,234.108655711816,217.420245695195,121.863228727033,144.005014002472,76.0766860771561,449.387708264609,73.8813580862543,88.3312848085906,125.775130280264,73.690692428734,9.61666645145204,77.3832085434213,54.4534707197681,77.4798511374338,23.4794343464425,17.3430783718775,30.5729039886398,40.9332822742341,39.5248801467501,118.946805223061,42.2735408313981,16.7091854157161,234.458992371123,355.419415264434,178.477667346843
"bin_m10.cct7_sub",3134.48105441219,1513.58548004509,2960.86507054498,7740.51421872702,474.20121879435,658.850342731312,403.077675657319,1290.48813396101,11844.2025673778,1528.46576062606,6070.36878755854,2502.82314882816,4.85786334996056,3.44672400118557,0,0,37.6220436214202,13.9080657409594,32.6010425173717,23.949783140617,44.3122477612073,33.2715622320689,58.1477156968047,46.3405544649981,62.6278078903597,52.0837580539263,35.2927741430642,151.839623439162,6.99552384272792,94.3739102347841,78.5663914401751,74.8067671769888,60.9508287824861,122.653930927489,54.8703156727916,690.051126264097,1900.98169974761,1565.46127892389,818.575771172635,222.336702705535,321.999186525931,178.576871480062,366.418786501024,7815.617694549,3.58726449723757,0.393027828557833,245.949909874521,10.7076742457166,6754.36451410407,30.5841233759002,6525.31214177718,2005.11282827544,123.485945729323,170.927178615035,60.273936571171,295.622258893468,54.8986126011363,254.165966307679,31.0984833964802,291.82963936689,416.191651067415,1401.41158418568,81.2574931078123,471.892465961225,221.49288958229,8.37370311348034,134.346616510441,53.0521198316267,27.1425148360029,146.170017398496,97.980329444042,24.9765160961715,14.5897882776061,82.8682960693026,9.52909747172595,5.53726336360439,0,6.27962593104176,31.8076521759905,9.53681134301185,10.6329594141097,9.00759491980006,57.1390858745393,36.6894442004749,0,1.21095233494415,13.2622589411254,5.46044869082326,1270.80171182386,409.581203964892,0.637451453785073,651.393768258577,386.87861189484,48.1206482406729,168.435072003351,615.475028777045,26.6968133674079,4133.18997824517,1454.85168320799,332.410583264413,116.259148217508,1821.48976877695,2427.78765549587,831.953665866457,803.217949402949,1851.57328773335,923.409209181096,2068.19393085463,12.8725911480542,104.638466365332,81.725742179011,22.8845464090171,9.36934536543003,7.9442156600228,87.7756642138089,7.72789663269845,41.1571906977095,23.3813663999961,111.272222456903,57.7808013841112,11.6280728178567,85.1893724917582,0.78064051307377,0,77.9285687413616,174.275965468372,0
