"","individual_id","beta.dissimilarity","sample_id","treatment","cage","sex","species","beta"
"73","M4",0.342764356043895,"M4_DIET","Diet","1","MALE","AS",0.657235643956105
"74","M4",0.342764356043895,"M4_PRE","Day1","1","MALE","AS",0.657235643956105
"75","M4",0.342764356043895,"M4_COLD","Cold","1","MALE","AS",0.657235643956105
"76","M6",0.234018233851372,"M6_COLD","Cold","3","FEMALE","AS",0.765981766148628
"77","M6",0.234018233851372,"M6_PRE","Day1","3","FEMALE","AS",0.765981766148628
"78","M6",0.234018233851372,"M6_POST","Acc","3","FEMALE","AS",0.765981766148628
"79","M6",0.234018233851372,"M6_DIET","Diet","3","FEMALE","AS",0.765981766148628
"80","M6",0.234018233851372,"M6_HEAT","Heat","3","FEMALE","AS",0.765981766148628
"81","M9",0.461986663991167,"M9_HEAT","Heat","2","MALE","AS",0.538013336008833
"82","M9",0.461986663991167,"M9_COLD","Cold","2","MALE","AS",0.538013336008833
"83","M9",0.461986663991167,"M9_DIET","Diet","2","MALE","AS",0.538013336008833
"84","M9",0.461986663991167,"M9_PRE","Day1","2","MALE","AS",0.538013336008833
"85","M9",0.461986663991167,"M9_POST","Acc","2","MALE","AS",0.538013336008833
"86","S10",0.500238332248539,"COLD_S10","Cold","3","MALE","CR",0.499761667751461
"87","S10",0.500238332248539,"DIET_S10","Diet","3","MALE","CR",0.499761667751461
"88","S10",0.500238332248539,"HEAT_S10","Heat","3","MALE","CR",0.499761667751461
"89","S10",0.500238332248539,"POST_S10","Acc","3","MALE","CR",0.499761667751461
"90","S10",0.500238332248539,"PRE_S10","Day1","3","MALE","CR",0.499761667751461
"91","S11",0.515213757749753,"COLD_S11","Cold","2","FEMALE","CR",0.484786242250247
"92","S11",0.515213757749753,"DIET_S11","Diet","2","FEMALE","CR",0.484786242250247
"93","S11",0.515213757749753,"HEAT_S11","Heat","2","FEMALE","CR",0.484786242250247
"94","S11",0.515213757749753,"POST_S11","Acc","2","FEMALE","CR",0.484786242250247
"95","S11",0.515213757749753,"PRE_S11","Day1","2","FEMALE","CR",0.484786242250247
"96","S12",0.394185842412026,"COLD_S12","Cold","5","MALE","CR",0.605814157587974
"97","S12",0.394185842412026,"DIET_S12","Diet","5","MALE","CR",0.605814157587974
"98","S12",0.394185842412026,"HEAT_S12","Heat","5","MALE","CR",0.605814157587974
"99","S12",0.394185842412026,"POST_S12","Acc","5","MALE","CR",0.605814157587974
"100","S12",0.394185842412026,"PRE_S12","Day1","5","MALE","CR",0.605814157587974
"101","S13",0.33535108816894,"COLD_S13","Cold","1","MALE","CR",0.66464891183106
"102","S13",0.33535108816894,"DIET_S13","Diet","1","MALE","CR",0.66464891183106
"103","S13",0.33535108816894,"HEAT_S13","Heat","1","MALE","CR",0.66464891183106
"104","S13",0.33535108816894,"POST_S13","Acc","1","MALE","CR",0.66464891183106
"105","S13",0.33535108816894,"PRE_S13","Day1","1","MALE","CR",0.66464891183106
"106","S14",0.576973805098547,"COLD_S14","Cold","5","MALE","CR",0.423026194901453
"107","S14",0.576973805098547,"DIET_S14","Diet","5","MALE","CR",0.423026194901453
"108","S14",0.576973805098547,"HEAT_S14","Heat","5","MALE","CR",0.423026194901453
"109","S14",0.576973805098547,"POST_S14","Acc","5","MALE","CR",0.423026194901453
"110","S14",0.576973805098547,"PRE_S14","Day1","5","MALE","CR",0.423026194901453
"111","S16",0.520723540867976,"COLD_S16","Cold","5","MALE","CR",0.479276459132024
"112","S16",0.520723540867976,"DIET_S16","Diet","5","MALE","CR",0.479276459132024
"113","S16",0.520723540867976,"HEAT_S16","Heat","5","MALE","CR",0.479276459132024
"114","S16",0.520723540867976,"POST_S16","Acc","5","MALE","CR",0.479276459132024
"115","S16",0.520723540867976,"PRE_S16","Day1","5","MALE","CR",0.479276459132024
"116","S18",0.399715054305096,"COLD_S18","Cold","4","FEMALE","CR",0.600284945694904
"117","S18",0.399715054305096,"DIET_S18","Diet","4","FEMALE","CR",0.600284945694904
"118","S18",0.399715054305096,"HEAT_S18","Heat","4","FEMALE","CR",0.600284945694904
"119","S18",0.399715054305096,"POST_S18","Acc","4","FEMALE","CR",0.600284945694904
"120","S18",0.399715054305096,"PRE_S18","Day1","4","FEMALE","CR",0.600284945694904
"121","S19",0.479095041806702,"COLD_S19","Cold","2","FEMALE","CR",0.520904958193298
"122","S19",0.479095041806702,"DIET_S19","Diet","2","FEMALE","CR",0.520904958193298
"123","S19",0.479095041806702,"HEAT_S19","Heat","2","FEMALE","CR",0.520904958193298
"124","S19",0.479095041806702,"POST_S19","Acc","2","FEMALE","CR",0.520904958193298
"125","S19",0.479095041806702,"PRE_S19","Day1","2","FEMALE","CR",0.520904958193298
"126","S2",0.489690673443993,"COLD_S2","Cold","1","MALE","CR",0.510309326556007
"127","S2",0.489690673443993,"DIET_S2","Diet","1","MALE","CR",0.510309326556007
"128","S2",0.489690673443993,"HEAT_S2","Heat","1","MALE","CR",0.510309326556007
"129","S2",0.489690673443993,"POST_S2","Acc","1","MALE","CR",0.510309326556007
"130","S2",0.489690673443993,"PRE_S2","Day1","1","MALE","CR",0.510309326556007
"131","S23",0.399628241331682,"COLD_S23","Cold","3","MALE","CR",0.600371758668318
"132","S23",0.399628241331682,"DIET_S23","Diet","3","MALE","CR",0.600371758668318
"133","S23",0.399628241331682,"HEAT_S23","Heat","3","MALE","CR",0.600371758668318
"134","S23",0.399628241331682,"POST_S23","Acc","3","MALE","CR",0.600371758668318
"135","S23",0.399628241331682,"PRE_S23","Day1","3","MALE","CR",0.600371758668318
"136","S24",0.386838727380713,"COLD_S24","Cold","5","MALE","CR",0.613161272619287
"137","S24",0.386838727380713,"DIET_S24","Diet","5","MALE","CR",0.613161272619287
"138","S24",0.386838727380713,"HEAT_S24","Heat","5","MALE","CR",0.613161272619287
"139","S24",0.386838727380713,"POST_S24","Acc","5","MALE","CR",0.613161272619287
"140","S24",0.386838727380713,"PRE_S24","Day1","5","MALE","CR",0.613161272619287
"141","S28",0.473888004941809,"COLD_S28","Cold","1","MALE","CR",0.526111995058191
"142","S28",0.473888004941809,"DIET_S28","Diet","1","MALE","CR",0.526111995058191
"143","S28",0.473888004941809,"HEAT_S28","Heat","1","MALE","CR",0.526111995058191
"144","S28",0.473888004941809,"POST_S28","Acc","1","MALE","CR",0.526111995058191
"145","S28",0.473888004941809,"PRE_S28","Day1","1","MALE","CR",0.526111995058191
"146","S31",0.46574957686714,"COLD_S31","Cold","6","MALE","CR",0.53425042313286
"147","S31",0.46574957686714,"DIET_S31","Diet","6","MALE","CR",0.53425042313286
"148","S31",0.46574957686714,"HEAT_S31","Heat","6","MALE","CR",0.53425042313286
"149","S31",0.46574957686714,"POST_S31","Acc","6","MALE","CR",0.53425042313286
"150","S31",0.46574957686714,"PRE_S31","Day1","6","MALE","CR",0.53425042313286
"151","S35",0.536642815819326,"COLD_S35","Cold","4","FEMALE","CR",0.463357184180674
"152","S35",0.536642815819326,"DIET_S35","Diet","4","FEMALE","CR",0.463357184180674
"153","S35",0.536642815819326,"HEAT_S35","Heat","4","FEMALE","CR",0.463357184180674
"154","S35",0.536642815819326,"POST_S35","Acc","4","FEMALE","CR",0.463357184180674
"155","S35",0.536642815819326,"PRE_S35","Day1","4","FEMALE","CR",0.463357184180674
"156","S36",0.450550058352843,"COLD_S36","Cold","6","MALE","CR",0.549449941647157
"157","S36",0.450550058352843,"DIET_S36","Diet","6","MALE","CR",0.549449941647157
"158","S36",0.450550058352843,"HEAT_S36","Heat","6","MALE","CR",0.549449941647157
"159","S36",0.450550058352843,"POST_S36","Acc","6","MALE","CR",0.549449941647157
"160","S36",0.450550058352843,"PRE_S36","Day1","6","MALE","CR",0.549449941647157
"161","S5",0.39276790816655,"COLD_S5","Cold","2","FEMALE","CR",0.60723209183345
"162","S5",0.39276790816655,"DIET_S5","Diet","2","FEMALE","CR",0.60723209183345
"163","S5",0.39276790816655,"HEAT_S5","Heat","2","FEMALE","CR",0.60723209183345
"164","S5",0.39276790816655,"POST_S5","Acc","2","FEMALE","CR",0.60723209183345
"165","S5",0.39276790816655,"PRE_S5","Day1","2","FEMALE","CR",0.60723209183345
"166","S6",0.420584891577876,"COLD_S6","Cold","4","FEMALE","CR",0.579415108422124
"167","S6",0.420584891577876,"DIET_S6","Diet","4","FEMALE","CR",0.579415108422124
"168","S6",0.420584891577876,"HEAT_S6","Heat","4","FEMALE","CR",0.579415108422124
"169","S6",0.420584891577876,"POST_S6","Acc","4","FEMALE","CR",0.579415108422124
"170","S6",0.420584891577876,"PRE_S6","Day1","4","FEMALE","CR",0.579415108422124
"171","S9",0.36309198445539,"COLD_S9","Cold","1","MALE","CR",0.63690801554461
"172","S9",0.36309198445539,"DIET_S9","Diet","1","MALE","CR",0.63690801554461
"173","S9",0.36309198445539,"HEAT_S9","Heat","1","MALE","CR",0.63690801554461
"174","S9",0.36309198445539,"POST_S9","Acc","1","MALE","CR",0.63690801554461
"175","S9",0.36309198445539,"PRE_S9","Day1","1","MALE","CR",0.63690801554461
