"","individual_id","beta.dissimilarity","sample_id","treatment","cage","sex","species","beta"
"73","M4",0.202422570913496,"M4_DIET","Diet","1","MALE","AS",0.797577429086504
"74","M4",0.202422570913496,"M4_PRE","Day1","1","MALE","AS",0.797577429086504
"75","M4",0.202422570913496,"M4_COLD","Cold","1","MALE","AS",0.797577429086504
"76","M6",0.131295424020532,"M6_COLD","Cold","3","FEMALE","AS",0.868704575979468
"77","M6",0.131295424020532,"M6_PRE","Day1","3","FEMALE","AS",0.868704575979468
"78","M6",0.131295424020532,"M6_POST","Acc","3","FEMALE","AS",0.868704575979468
"79","M6",0.131295424020532,"M6_DIET","Diet","3","FEMALE","AS",0.868704575979468
"80","M6",0.131295424020532,"M6_HEAT","Heat","3","FEMALE","AS",0.868704575979468
"81","M9",0.209945471489546,"M9_HEAT","Heat","2","MALE","AS",0.790054528510454
"82","M9",0.209945471489546,"M9_COLD","Cold","2","MALE","AS",0.790054528510454
"83","M9",0.209945471489546,"M9_DIET","Diet","2","MALE","AS",0.790054528510454
"84","M9",0.209945471489546,"M9_PRE","Day1","2","MALE","AS",0.790054528510454
"85","M9",0.209945471489546,"M9_POST","Acc","2","MALE","AS",0.790054528510454
"86","S10",0.356175370319073,"COLD_S10","Cold","3","MALE","CR",0.643824629680927
"87","S10",0.356175370319073,"DIET_S10","Diet","3","MALE","CR",0.643824629680927
"88","S10",0.356175370319073,"HEAT_S10","Heat","3","MALE","CR",0.643824629680927
"89","S10",0.356175370319073,"POST_S10","Acc","3","MALE","CR",0.643824629680927
"90","S10",0.356175370319073,"PRE_S10","Day1","3","MALE","CR",0.643824629680927
"91","S11",0.35050324369412,"COLD_S11","Cold","2","FEMALE","CR",0.64949675630588
"92","S11",0.35050324369412,"DIET_S11","Diet","2","FEMALE","CR",0.64949675630588
"93","S11",0.35050324369412,"HEAT_S11","Heat","2","FEMALE","CR",0.64949675630588
"94","S11",0.35050324369412,"POST_S11","Acc","2","FEMALE","CR",0.64949675630588
"95","S11",0.35050324369412,"PRE_S11","Day1","2","FEMALE","CR",0.64949675630588
"96","S12",0.324531045192588,"COLD_S12","Cold","5","MALE","CR",0.675468954807412
"97","S12",0.324531045192588,"DIET_S12","Diet","5","MALE","CR",0.675468954807412
"98","S12",0.324531045192588,"HEAT_S12","Heat","5","MALE","CR",0.675468954807412
"99","S12",0.324531045192588,"POST_S12","Acc","5","MALE","CR",0.675468954807412
"100","S12",0.324531045192588,"PRE_S12","Day1","5","MALE","CR",0.675468954807412
"101","S13",0.226778728905707,"COLD_S13","Cold","1","MALE","CR",0.773221271094293
"102","S13",0.226778728905707,"DIET_S13","Diet","1","MALE","CR",0.773221271094293
"103","S13",0.226778728905707,"HEAT_S13","Heat","1","MALE","CR",0.773221271094293
"104","S13",0.226778728905707,"POST_S13","Acc","1","MALE","CR",0.773221271094293
"105","S13",0.226778728905707,"PRE_S13","Day1","1","MALE","CR",0.773221271094293
"106","S14",0.386755927372844,"COLD_S14","Cold","5","MALE","CR",0.613244072627156
"107","S14",0.386755927372844,"DIET_S14","Diet","5","MALE","CR",0.613244072627156
"108","S14",0.386755927372844,"HEAT_S14","Heat","5","MALE","CR",0.613244072627156
"109","S14",0.386755927372844,"POST_S14","Acc","5","MALE","CR",0.613244072627156
"110","S14",0.386755927372844,"PRE_S14","Day1","5","MALE","CR",0.613244072627156
"111","S16",0.356823404304532,"COLD_S16","Cold","5","MALE","CR",0.643176595695468
"112","S16",0.356823404304532,"DIET_S16","Diet","5","MALE","CR",0.643176595695468
"113","S16",0.356823404304532,"HEAT_S16","Heat","5","MALE","CR",0.643176595695468
"114","S16",0.356823404304532,"POST_S16","Acc","5","MALE","CR",0.643176595695468
"115","S16",0.356823404304532,"PRE_S16","Day1","5","MALE","CR",0.643176595695468
"116","S18",0.285163522114198,"COLD_S18","Cold","4","FEMALE","CR",0.714836477885802
"117","S18",0.285163522114198,"DIET_S18","Diet","4","FEMALE","CR",0.714836477885802
"118","S18",0.285163522114198,"HEAT_S18","Heat","4","FEMALE","CR",0.714836477885802
"119","S18",0.285163522114198,"POST_S18","Acc","4","FEMALE","CR",0.714836477885802
"120","S18",0.285163522114198,"PRE_S18","Day1","4","FEMALE","CR",0.714836477885802
"121","S19",0.348377191956869,"COLD_S19","Cold","2","FEMALE","CR",0.651622808043131
"122","S19",0.348377191956869,"DIET_S19","Diet","2","FEMALE","CR",0.651622808043131
"123","S19",0.348377191956869,"HEAT_S19","Heat","2","FEMALE","CR",0.651622808043131
"124","S19",0.348377191956869,"POST_S19","Acc","2","FEMALE","CR",0.651622808043131
"125","S19",0.348377191956869,"PRE_S19","Day1","2","FEMALE","CR",0.651622808043131
"126","S2",0.3782823943127,"COLD_S2","Cold","1","MALE","CR",0.6217176056873
"127","S2",0.3782823943127,"DIET_S2","Diet","1","MALE","CR",0.6217176056873
"128","S2",0.3782823943127,"HEAT_S2","Heat","1","MALE","CR",0.6217176056873
"129","S2",0.3782823943127,"POST_S2","Acc","1","MALE","CR",0.6217176056873
"130","S2",0.3782823943127,"PRE_S2","Day1","1","MALE","CR",0.6217176056873
"131","S23",0.278637262327211,"COLD_S23","Cold","3","MALE","CR",0.721362737672789
"132","S23",0.278637262327211,"DIET_S23","Diet","3","MALE","CR",0.721362737672789
"133","S23",0.278637262327211,"HEAT_S23","Heat","3","MALE","CR",0.721362737672789
"134","S23",0.278637262327211,"POST_S23","Acc","3","MALE","CR",0.721362737672789
"135","S23",0.278637262327211,"PRE_S23","Day1","3","MALE","CR",0.721362737672789
"136","S24",0.27126118886562,"COLD_S24","Cold","5","MALE","CR",0.72873881113438
"137","S24",0.27126118886562,"DIET_S24","Diet","5","MALE","CR",0.72873881113438
"138","S24",0.27126118886562,"HEAT_S24","Heat","5","MALE","CR",0.72873881113438
"139","S24",0.27126118886562,"POST_S24","Acc","5","MALE","CR",0.72873881113438
"140","S24",0.27126118886562,"PRE_S24","Day1","5","MALE","CR",0.72873881113438
