"","individual_id","beta.dissimilarity","sample_id","treatment","cage","sex","species","beta"
"73","M4",0.34936410692916,"M4_DIET","Diet","1","MALE","AS",0.65063589307084
"74","M4",0.34936410692916,"M4_PRE","Day1","1","MALE","AS",0.65063589307084
"75","M4",0.34936410692916,"M4_COLD","Cold","1","MALE","AS",0.65063589307084
"76","M6",0.236408721156869,"M6_COLD","Cold","3","FEMALE","AS",0.763591278843131
"77","M6",0.236408721156869,"M6_PRE","Day1","3","FEMALE","AS",0.763591278843131
"78","M6",0.236408721156869,"M6_POST","Acc","3","FEMALE","AS",0.763591278843131
"79","M6",0.236408721156869,"M6_DIET","Diet","3","FEMALE","AS",0.763591278843131
"80","M6",0.236408721156869,"M6_HEAT","Heat","3","FEMALE","AS",0.763591278843131
"81","M9",0.442576194996937,"M9_HEAT","Heat","2","MALE","AS",0.557423805003063
"82","M9",0.442576194996937,"M9_COLD","Cold","2","MALE","AS",0.557423805003063
"83","M9",0.442576194996937,"M9_DIET","Diet","2","MALE","AS",0.557423805003063
"84","M9",0.442576194996937,"M9_PRE","Day1","2","MALE","AS",0.557423805003063
"85","M9",0.442576194996937,"M9_POST","Acc","2","MALE","AS",0.557423805003063
"86","S10",0.503673716131056,"COLD_S10","Cold","3","MALE","CR",0.496326283868944
"87","S10",0.503673716131056,"DIET_S10","Diet","3","MALE","CR",0.496326283868944
"88","S10",0.503673716131056,"HEAT_S10","Heat","3","MALE","CR",0.496326283868944
"89","S10",0.503673716131056,"POST_S10","Acc","3","MALE","CR",0.496326283868944
"90","S10",0.503673716131056,"PRE_S10","Day1","3","MALE","CR",0.496326283868944
"91","S11",0.515510543189183,"COLD_S11","Cold","2","FEMALE","CR",0.484489456810817
"92","S11",0.515510543189183,"DIET_S11","Diet","2","FEMALE","CR",0.484489456810817
"93","S11",0.515510543189183,"HEAT_S11","Heat","2","FEMALE","CR",0.484489456810817
"94","S11",0.515510543189183,"POST_S11","Acc","2","FEMALE","CR",0.484489456810817
"95","S11",0.515510543189183,"PRE_S11","Day1","2","FEMALE","CR",0.484489456810817
"96","S12",0.398632099694889,"COLD_S12","Cold","5","MALE","CR",0.601367900305111
"97","S12",0.398632099694889,"DIET_S12","Diet","5","MALE","CR",0.601367900305111
"98","S12",0.398632099694889,"HEAT_S12","Heat","5","MALE","CR",0.601367900305111
"99","S12",0.398632099694889,"POST_S12","Acc","5","MALE","CR",0.601367900305111
"100","S12",0.398632099694889,"PRE_S12","Day1","5","MALE","CR",0.601367900305111
"101","S13",0.332516206516587,"COLD_S13","Cold","1","MALE","CR",0.667483793483413
"102","S13",0.332516206516587,"DIET_S13","Diet","1","MALE","CR",0.667483793483413
"103","S13",0.332516206516587,"HEAT_S13","Heat","1","MALE","CR",0.667483793483413
"104","S13",0.332516206516587,"POST_S13","Acc","1","MALE","CR",0.667483793483413
"105","S13",0.332516206516587,"PRE_S13","Day1","1","MALE","CR",0.667483793483413
"106","S14",0.580918177966853,"COLD_S14","Cold","5","MALE","CR",0.419081822033147
"107","S14",0.580918177966853,"DIET_S14","Diet","5","MALE","CR",0.419081822033147
"108","S14",0.580918177966853,"HEAT_S14","Heat","5","MALE","CR",0.419081822033147
"109","S14",0.580918177966853,"POST_S14","Acc","5","MALE","CR",0.419081822033147
"110","S14",0.580918177966853,"PRE_S14","Day1","5","MALE","CR",0.419081822033147
"111","S16",0.525001003893544,"COLD_S16","Cold","5","MALE","CR",0.474998996106456
"112","S16",0.525001003893544,"DIET_S16","Diet","5","MALE","CR",0.474998996106456
"113","S16",0.525001003893544,"HEAT_S16","Heat","5","MALE","CR",0.474998996106456
"114","S16",0.525001003893544,"POST_S16","Acc","5","MALE","CR",0.474998996106456
"115","S16",0.525001003893544,"PRE_S16","Day1","5","MALE","CR",0.474998996106456
"116","S18",0.394620269823198,"COLD_S18","Cold","4","FEMALE","CR",0.605379730176802
"117","S18",0.394620269823198,"DIET_S18","Diet","4","FEMALE","CR",0.605379730176802
"118","S18",0.394620269823198,"HEAT_S18","Heat","4","FEMALE","CR",0.605379730176802
"119","S18",0.394620269823198,"POST_S18","Acc","4","FEMALE","CR",0.605379730176802
"120","S18",0.394620269823198,"PRE_S18","Day1","4","FEMALE","CR",0.605379730176802
"121","S19",0.475244176971663,"COLD_S19","Cold","2","FEMALE","CR",0.524755823028337
"122","S19",0.475244176971663,"DIET_S19","Diet","2","FEMALE","CR",0.524755823028337
"123","S19",0.475244176971663,"HEAT_S19","Heat","2","FEMALE","CR",0.524755823028337
"124","S19",0.475244176971663,"POST_S19","Acc","2","FEMALE","CR",0.524755823028337
"125","S19",0.475244176971663,"PRE_S19","Day1","2","FEMALE","CR",0.524755823028337
"126","S2",0.495154391155764,"COLD_S2","Cold","1","MALE","CR",0.504845608844236
"127","S2",0.495154391155764,"DIET_S2","Diet","1","MALE","CR",0.504845608844236
"128","S2",0.495154391155764,"HEAT_S2","Heat","1","MALE","CR",0.504845608844236
"129","S2",0.495154391155764,"POST_S2","Acc","1","MALE","CR",0.504845608844236
"130","S2",0.495154391155764,"PRE_S2","Day1","1","MALE","CR",0.504845608844236
"131","S23",0.385480426979664,"COLD_S23","Cold","3","MALE","CR",0.614519573020336
"132","S23",0.385480426979664,"DIET_S23","Diet","3","MALE","CR",0.614519573020336
"133","S23",0.385480426979664,"HEAT_S23","Heat","3","MALE","CR",0.614519573020336
"134","S23",0.385480426979664,"POST_S23","Acc","3","MALE","CR",0.614519573020336
"135","S23",0.385480426979664,"PRE_S23","Day1","3","MALE","CR",0.614519573020336
"136","S24",0.391488584844604,"COLD_S24","Cold","5","MALE","CR",0.608511415155396
"137","S24",0.391488584844604,"DIET_S24","Diet","5","MALE","CR",0.608511415155396
"138","S24",0.391488584844604,"HEAT_S24","Heat","5","MALE","CR",0.608511415155396
"139","S24",0.391488584844604,"POST_S24","Acc","5","MALE","CR",0.608511415155396
"140","S24",0.391488584844604,"PRE_S24","Day1","5","MALE","CR",0.608511415155396
"141","S28",0.467281314868667,"COLD_S28","Cold","1","MALE","CR",0.532718685131333
"142","S28",0.467281314868667,"DIET_S28","Diet","1","MALE","CR",0.532718685131333
"143","S28",0.467281314868667,"HEAT_S28","Heat","1","MALE","CR",0.532718685131333
"144","S28",0.467281314868667,"POST_S28","Acc","1","MALE","CR",0.532718685131333
"145","S28",0.467281314868667,"PRE_S28","Day1","1","MALE","CR",0.532718685131333
"146","S31",0.459591027696294,"COLD_S31","Cold","6","MALE","CR",0.540408972303706
"147","S31",0.459591027696294,"DIET_S31","Diet","6","MALE","CR",0.540408972303706
